"web_x","web_y"
-10146999.7783407,5297492.65947004
-10147016.0009802,5298459.08899822
-10146936.3145262,5299977.64349609
-10147105.4498668,5301572.39739048
-10147118.2188192,5301914.58183909
-10147147.1610689,5302679.03255863
-10147120.0874044,5303786.38576316
-10147224.664088,5305171.76407255
-10147686.7232951,5306221.34038098
-10147847.2450498,5306471.99867391
-10148279.5483286,5307149.15883258
-10148357.6855386,5307275.07860517
-10148575.1319254,5307836.82466835
-10148379.8922126,5308670.26830253
-10148325.6192736,5309501.44975359
-10148357.0943728,5310112.68861685
-10148506.5977758,5310593.91696746
-10148615.3272501,5310949.77555313
-10149002.6754804,5312205.54721974
-10149592.1868148,5314048.57817585
-10150035.6060572,5315554.51581642
-10150479.0584797,5317436.56324466
-10150583.636772,5318823.96532826
-10150694.9892697,5320004.69436798
-10150763.0242353,5321093.7520287
-10150715.5762592,5322273.03948638
-10150743.690147,5323263.53999462
-10150748.8047795,5323472.23355375
-10150571.4678253,5325061.72828873
-10150584.3562874,5326711.37425128
-10150627.7486978,5327622.66759355
-10150697.5148029,5329066.84514851
-10150802.8867066,5329853.87409966
-10150777.5059712,5330893.47263592
-10150691.79375,5331516.01480501
-10150470.2025078,5332054.23957202
-10150197.6417245,5332406.8791214
-10149824.8688263,5332675.16415509
-10149721.2705575,5332722.30755301
-10149259.3266367,5332937.65657319
-10148540.9314297,5333227.52117765
-10148476.395224,5333253.7139513
-10147915.9713579,5333764.71940689
-10147470.2218004,5334629.6033842
-10147238.4514819,5335299.55384993
-10147017.7186988,5335937.53702267
-10146422.5638575,5337382.48257876
-10146112.7103859,5338516.69163698
-10145741.6956861,5339447.81176617
-10145235.6614718,5340406.40919073
-10144830.6713414,5341248.02652494
-10144343.2987636,5341976.14263051
-10144298.297344,5342044.88053458
-10143118.8883711,5343430.23974506
-10141677.0993458,5345052.39018382
-10140529.1082838,5346407.30772037
-10139159.4949588,5347971.68615044
-10138548.9760906,5348558.69610596
-10138151.5969919,5349058.28519573
-10137961.4097205,5349412.72584293
-10137842.59036,5350161.85221209
-10137968.323195,5350722.69609242
-10138123.7489775,5350966.97361147
-10138237.5580917,5351145.95854656
-10138861.7398331,5351370.96173252
-10139269.400706,5351868.87703973
-10139598.1171741,5352711.46327941
-10139648.2800948,5353359.36313389
-10139770.6394084,5354175.85616735
-10140677.7747125,5356265.77042062
-10140761.0112251,5356430.85779226
-10141363.2025168,5357626.81837881
-10142108.0469946,5358689.8746449
-10143044.7872822,5359496.25655842
-10144439.2799468,5360697.20760573
-10145743.7468125,5361773.98897054
-10147093.2009707,5362629.63638799
-10148164.0881976,5363157.28444412
-10149136.4466308,5363460.19551085
-10149630.6681825,5363332.87549105
-10150547.8471253,5363822.62676337
-10151257.8260883,5364367.89239471
-10151842.947946,5364639.93192127
-10152384.7447446,5364727.46798599
-10153029.2929339,5364806.81841474
-10153582.1334183,5364953.9148347
-10154134.1589689,5365461.88706806
-10154442.472052,5366052.83776529
-10154592.8308363,5366608.2146325
-10154743.1841777,5367092.3687115
-10154610.7476641,5367513.49440664
-10154355.1815368,5367975.53689278
-10153994.3105818,5368384.45676687
-10153727.7249508,5369061.51901626
-10153462.8594617,5369972.90705935
-10153264.2052384,5370603.92113725
-10153137.7456927,5371372.87257526
-10153086.8907205,5372418.87477232
-10153300.1727891,5373875.85290992
-10153687.5369901,5375279.26337675
-10153929.6275936,5376027.52165453
-10153997.5826907,5376238.56361135
-10154649.0119786,5377273.35734096
-10155511.0557604,5378442.74128179
-10155942.4921697,5378923.97937707
-10156372.2300473,5379405.24106585
-10156591.3807283,5380023.4072876
-10156716.2709583,5380655.07514168
-10156754.5295342,5381142.31294033
-10156696.8486188,5381841.93264204
-10156392.893597,5382461.4786049
-10156187.4193843,5382798.47760717
-10156099.1158924,5382942.99278144
-10155948.8466833,5383358.40453802
-10155723.0176928,5383981.55558855
-10155571.0935243,5384868.0659207
-10155556.6650923,5384954.08825717
-10155515.1818691,5386331.70876747
-10155420.2138107,5387876.36670917
-10155255.5600311,5388851.06528586
-10155152.8715619,5389550.68511104
-10155158.8549507,5389966.96342379
-10155308.3521975,5390387.34528535
-10155631.9296385,5390746.2479538
-10155972.4977088,5391174.84603977
-10156240.8666127,5391417.25227217
-10156607.74713,5391710.60200064
-10156642.5703074,5391782.62903503
-10156860.8573881,5392244.66676082
-10157198.8904087,5392810.96834594
-10157429.0716994,5393345.68523457
-10157692.3745803,5393907.37325467
-10157841.0298294,5394394.12651524
-10157847.8848637,5395063.69303116
-10157865.7728042,5395651.87301464
-10157732.5023458,5396223.1130044
-10157453.1757033,5396872.91674365
-10157227.3480686,5397496.39250531
-10156933.6158045,5398465.6687435
-10156812.277404,5399517.08611632
-10156734.2422321,5400492.41755851
-10156861.674096,5401055.13920361
-10157058.7264858,5401471.33031929
-10157400.9991219,5401976.63813542
-10157502.9140519,5402095.05344226
